Date,Close
4/18/2018 16:00:00,166.36
4/19/2018 16:00:00,168.1
4/20/2018 16:00:00,166.28
4/23/2018 16:00:00,165.84
4/24/2018 16:00:00,159.69
4/25/2018 16:00:00,159.69
4/26/2018 16:00:00,174.16
4/27/2018 16:00:00,173.59
4/30/2018 16:00:00,172
5/1/2018 16:00:00,173.86
5/2/2018 16:00:00,176.07
5/3/2018 16:00:00,174.02
5/4/2018 16:00:00,176.61
5/7/2018 16:00:00,177.97
5/8/2018 16:00:00,178.92
5/9/2018 16:00:00,182.66
5/10/2018 16:00:00,185.53
5/11/2018 16:00:00,186.99
5/14/2018 16:00:00,186.64
5/15/2018 16:00:00,184.32
5/16/2018 16:00:00,183.2
5/17/2018 16:00:00,183.76
5/18/2018 16:00:00,182.68
5/21/2018 16:00:00,184.49
5/22/2018 16:00:00,183.8
5/23/2018 16:00:00,186.9
5/24/2018 16:00:00,185.93
5/25/2018 16:00:00,184.92
5/29/2018 16:00:00,185.74
5/30/2018 16:00:00,187.67
5/31/2018 16:00:00,187.67
6/1/2018 16:00:00,193.99
6/4/2018 16:00:00,193.28
6/5/2018 16:00:00,192.94
6/6/2018 16:00:00,191.34
6/7/2018 16:00:00,188.18
6/8/2018 16:00:00,189.1
6/11/2018 16:00:00,191.54
6/12/2018 16:00:00,192.4
6/13/2018 16:00:00,192.41
6/14/2018 16:00:00,196.81
6/15/2018 16:00:00,195.85
6/18/2018 16:00:00,198.31
6/19/2018 16:00:00,197.49
6/20/2018 16:00:00,202
6/21/2018 16:00:00,201.5
6/22/2018 16:00:00,201.74
6/25/2018 16:00:00,196.35
6/26/2018 16:00:00,199
6/27/2018 16:00:00,195.84
6/28/2018 16:00:00,196.23
6/29/2018 16:00:00,194.32
7/2/2018 16:00:00,197.36
7/3/2018 13:00:00,192.73
7/5/2018 16:00:00,198.45
7/6/2018 16:00:00,203.23
7/9/2018 16:00:00,204.74
7/10/2018 16:00:00,203.54
7/11/2018 16:00:00,202.54
7/12/2018 16:00:00,206.92
7/13/2018 16:00:00,207.32
7/16/2018 16:00:00,207.23
7/17/2018 16:00:00,209.99
7/18/2018 16:00:00,209.36
7/19/2018 16:00:00,208.09
7/20/2018 16:00:00,209.94
7/23/2018 16:00:00,210.91
7/24/2018 16:00:00,214.67
7/25/2018 16:00:00,217.5
7/26/2018 16:00:00,176.26
7/27/2018 16:00:00,174.89
7/30/2018 16:00:00,171.06
7/31/2018 16:00:00,172.58
8/1/2018 16:00:00,171.65
8/2/2018 16:00:00,176.37
8/3/2018 16:00:00,177.78
8/6/2018 16:00:00,185.69
8/7/2018 16:00:00,183.81
8/8/2018 16:00:00,185.18
8/9/2018 16:00:00,183.09
8/10/2018 16:00:00,180.26
8/13/2018 16:00:00,180.05
8/14/2018 16:00:00,181.11
8/15/2018 16:00:00,179.53
8/16/2018 16:00:00,174.7
8/17/2018 16:00:00,173.8
8/20/2018 16:00:00,172.5
8/21/2018 16:00:00,172.62
8/22/2018 16:00:00,173.64
8/23/2018 16:00:00,172.9
8/24/2018 16:00:00,174.65
8/27/2018 16:00:00,177.46
8/28/2018 16:00:00,176.26
8/29/2018 16:00:00,175.9
8/30/2018 16:00:00,177.64
8/31/2018 16:00:00,175.73
9/4/2018 16:00:00,171.16
9/5/2018 16:00:00,167.18
9/6/2018 16:00:00,162.53
9/7/2018 16:00:00,163.04
9/10/2018 16:00:00,164.18
9/11/2018 16:00:00,165.94
9/12/2018 16:00:00,162
9/13/2018 16:00:00,161.36
9/14/2018 16:00:00,162.32
9/17/2018 16:00:00,160.58
9/18/2018 16:00:00,160.3
9/19/2018 16:00:00,163.06
9/20/2018 16:00:00,166.02
9/21/2018 16:00:00,162.93
9/24/2018 16:00:00,165.41
9/25/2018 16:00:00,164.91
9/26/2018 16:00:00,166.95
9/27/2018 16:00:00,168.84
9/28/2018 16:00:00,164.46
10/1/2018 16:00:00,162.44
10/2/2018 16:00:00,159.33
